sta,grav_avg,grav_std,Datetime,Lat,Long,x_8N,y_8N,Elev,Elev_std,secs_elapsed,linear_drift_corr,grav_anom,theo_grav_0,drift_corr_grav_uc,fac,faa_error,boug_slab_corr_2700,ba_error,ba_terr_error,terr_corr_2700,fa_grav_theo,fa_grav_theo_rel,fa_anom,grav_theo_2700,grav_theo_rel,boug_anom_2700,rep_error_max,error,dist
4.0,6395.201592024492,0.0038118360943998424,2023-07-06 17:04:43.500,58.63171757564836,-134.2428638693092,543962.2251909971,6499292.757063404,1116.7194705691809,0.0212138620850292,18036.0,-32.875605003697274,-32.87560500369433,981811.0432623728,0.06925962050007425,344.6196286176492,0.0695683331343052,126.36114565331708,0.06938431598951325,0.07557384882847831,2.595719458859975,-981466.4236337552,-21.63111130974721,-54.506716313441544,-981590.1890599496,-15.658127842121758,-48.5110917833738,0.15456730415371567,0.17205364901709275,0.0
22.0,6398.495878519987,0.002050450818572986,2023-07-09 16:04:24.500,58.635481455758054,-134.2479552397905,543661.9115438833,6499708.502328832,1122.6731995833338,0.0544258308159969,273617.0,-33.370969344231526,-33.370969344228584,981811.3408729851,0.0691850365755712,346.4569493914168,0.0711945824217364,127.03483321672488,0.07000260030459245,0.07550800634563874,2.6076764426518366,-981464.8839235937,-20.09140114823822,-53.4623704924668,-981589.3110803678,-14.780148260295391,-48.151117604523975,0.15456730415371567,0.17202473815018662,512.8668563756144
23.0,6397.8293088786795,0.00216039576376805,2023-07-09 16:22:46.500,58.63858662043508,-134.25292133756196,543369.7498438832,6500051.010328831,1130.2041995833338,0.054618413195657,274719.0,-34.05387899211746,-34.05387899211452,981811.5863833419,0.06918838231422847,348.7810159914168,0.07121187710390829,127.88699511861245,0.07001166864674235,0.07558455598840536,2.624060430302933,-981462.8053673505,-18.012844905024394,-52.066723897138914,-981588.0683020387,-13.537369931233115,-47.591248923347635,0.15456730415371567,0.17205835236137662,963.0559155613576
24.0,6396.698318189296,0.0021766621911945205,2023-07-09 16:42:49.500,58.64243383790682,-134.2583409355878,543050.4019438833,6500475.869328831,1141.5871995833338,0.0544258308159969,275922.0,-35.20270727488969,-35.20270727488675,981811.8905447609,0.06918889214099552,352.2938097914168,0.07119832916537161,129.17502578242687,0.0700064108431486,0.07602166212912338,2.654369929429592,-981459.5967349694,-14.804212523973547,-50.006919798860295,-981586.1173908224,-11.586458714911714,-46.78916598979846,0.15456730415371567,0.1722508189420934,1494.552153662357
25.0,6394.702384866032,0.00999420599260626,2023-07-09 17:01:07.500,58.64619420192546,-134.2628455331949,542784.3341438832,6500891.667328832,1156.1411995833337,0.054618413195657,277020.0,-37.214921294362284,-37.21492129435934,981812.1878187135,0.0698730927526926,356.78517419141673,0.07187731411390298,130.82186741302993,0.07068840492094715,0.07827872904324569,2.687598157402306,-981455.402644522,-10.610122076584958,-47.8250433709443,-981583.5369137776,-9.005981670110486,-46.22090296446983,0.15456730415371567,0.17325879756587578,1988.1917499279198
26.0,6390.6035767274825,0.0012852312217782676,2023-07-09 17:21:29.500,58.65005621704615,-134.26741332896478,542514.5311438832,6501318.761328831,1176.2341995833335,0.054618413195657,278242.0,-41.33184875055122,-41.331848750548275,981812.4931072181,0.06916658699615856,362.9858739914167,0.07119070128956075,133.0954684082002,0.06999012970511323,0.0768733332880904,2.704815777056808,-981449.5072332267,-4.7147107812343165,-46.04655953178259,-981579.8978858578,-5.366953750373796,-46.69880250092207,0.15456730415371567,0.17262838956605336,2493.367901032278
27.0,6386.513145784426,0.0023245311802359914,2023-07-09 17:46:53.500,58.65391691617923,-134.27175912671848,542257.6695438833,6501745.867328832,1193.3171995833338,0.0548285606231964,279766.0,-45.44487694408417,-45.44487694408123,981812.7982699829,0.06919370189989567,368.2576877914168,0.07123242209200752,135.02847621193752,0.07002323507274587,0.07575155423232233,2.6944798013100524,-981444.5405821915,0.25194025388918817,-45.19293669019204,-981576.8745786021,-2.3436464946717024,-47.78852343875293,0.15456730415371567,0.17213177940740554,2991.7627412855195
28.0,6384.460675860217,0.002464423486423822,2023-07-09 18:05:52.500,58.658101559170774,-134.27521752374312,542051.9599438832,6502209.614328831,1202.8771995833338,0.0544258308159969,280905.0,-47.514235495783396,-47.514235495780454,981813.1290138476,0.06919854276301036,371.2079037914168,0.07120770745338224,136.11022734486082,0.07001594878287072,0.0761525901479624,2.6984707574507922,-981441.9211100561,2.8714123893296346,-44.64282310645082,-981575.3328666436,-0.8019345360808074,-48.31617003186126,0.15456730415371567,0.17230864313664243,3499.08681871604
29.0,6384.155384489033,0.0024725229230218864,2023-07-09 18:28:23.500,58.66246662586526,-134.27662451966955,541965.0868438833,6502694.742328832,1209.2751995833337,0.0544258308159969,282256.0,-47.83955894399696,-47.83955894399402,981813.4739907664,0.06919883168817668,373.18232659141677,0.07120798822639846,136.8341858959532,0.07001623433497411,0.07670875757375362,2.707474371801027,-981440.291664175,4.50085827044677,-43.33870067354725,-981574.4183756992,0.11255640827585012,-47.72700253571817,0.15456730415371567,0.17255516509758886,3991.9317353866713
210.0,6385.1301241539195,0.00832642651730993,2023-07-09 18:51:36.500,58.66696171682445,-134.27748581541397,541909.7308438832,6503194.690328832,1213.8811995833337,0.054618413195657,283649.0,-46.885474115012585,-46.88547411500964,981813.8292146481,0.0696541048033201,374.60373819141677,0.07166445080619954,137.35537268656455,0.07047195055760344,0.07707508887666281,2.74314819265814,-981439.2254764567,5.56704598874785,-41.31842812626179,-981573.8377009506,0.6932311569107696,-46.204421810771024,0.15456730415371567,0.1727183280335145,4494.93500519698
