begin,end,distance,angle,xcoord,ycoord,thick_norm,means,sds
6495870.83159939,6511758.35873335,265,317.668246928606,545964.711291234,6497454.8311314,1.0,1641.61,62.862849919487424
6495870.83159939,6511758.35873335,515,317.577661488021,545796.226990274,6497639.52818557,0.9986843853639715,1641.61,62.862849919487424
6495870.83159939,6511758.35873335,765,317.577661487661,545627.579428842,6497824.07628234,0.9932196832303154,1641.61,62.862849919487424
6495870.83159939,6511758.35873335,1015,311.37548622181,545450.353378155,6497999.91037078,0.9828944465857068,1641.61,62.862849919487424
6495870.83159939,6511758.35873335,1265,311.37548622181,545262.754892976,6498165.15808894,0.9892523158816922,1641.61,62.862849919487424
6495870.83159939,6511758.35873335,1515,311.375486217406,545075.156407797,6498330.4058071,0.9956827688860187,1641.61,62.862849919487424
6495870.83159939,6511758.35873335,1765,311.375486217406,544887.557922615,6498495.65352526,0.9704594136835589,1641.61,62.862849919487424
6495870.83159939,6511758.35873335,2015,304.42605979299,544694.315587733,6498653.92793245,0.9748076268503775,1641.61,62.862849919487424
6495870.83159939,6511758.35873335,2265,304.426059793431,544488.101475364,6498795.26349012,0.9617181113993049,1641.61,62.862849919487424
6495870.83159939,6511758.35873335,2515,304.426059788589,544281.887362996,6498936.59904778,0.9879319657042882,1646.11,88.15950260748978
6495870.83159939,6511758.35873335,2765,304.426059793431,544075.673250623,6499077.93460544,0.9773426243269329,1672.08,60.76622087969598
6495870.83159939,6511758.35873335,3015,308.01207843744294,543875.589246613,6499227.72150662,0.9956180306378368,1685.22,43.945552676010344
6495870.83159939,6511758.35873335,3265,308.012078442017,543678.619009259,6499381.67840187,0.9979978345843727,1694.57,40.695516952116485
6495870.83159939,6511758.35873335,3515,313.445720379234,543482.295066157,6499536.38591736,0.9982836426940628,1684.91,45.70494393388969
6495870.83159939,6511758.35873335,3765,314.407477600207,543302.6578443592,6499710.2433927,0.9897732636495199,1673.22,52.23151921972019
6495870.83159939,6511758.35873335,4015,314.407477600627,543124.062504013,6499885.18253757,1.0,1654.81,40.90469288480235
6495870.83159939,6511758.35873335,4265,314.407477600627,542945.4671636729,6500060.12168244,1.0,1608.22,43.31872112609051
6495870.83159939,6511758.35873335,4515,319.297083786636,542773.629507912,6500241.40436506,0.9871283751857887,1576.47,55.23431089458798
6495870.83159939,6511758.35873335,4765,319.297083786743,542610.595260381,6500430.92965132,0.9821455255364329,1527.25,64.98621007567682
6495870.83159939,6511758.35873335,5015,319.297083786636,542447.561012849,6500620.45493758,0.9838097861900333,1474.87,63.33666473694363
6495870.83159939,6511758.35873335,5265,319.29708378704,542284.526765317,6500809.98022384,0.9914135805888543,1496.27,64.72107153006661
6495870.83159939,6511758.35873335,5515,319.297083786636,542121.492517786,6500999.5055101,0.9782103620680902,1510.46,62.224499997991146
6495870.83159939,6511758.35873335,5765,319.297083786636,541958.4582702529,6501189.03079636,0.986802901586861,1544.55,50.69977810602331
6495870.83159939,6511758.35873335,6015,319.297083786636,541795.424022722,6501378.55608262,0.9965980566950061,1600.4,51.86829474736952
6495870.83159939,6511758.35873335,6265,319.297083790464,541632.389775188,6501568.08136888,0.9914479967672404,1619.09,51.55232196516467
6495870.83159939,6511758.35873335,6515,337.605568463006,541473.170898264,6501760.16352535,0.9946026999508715,1620.42,58.7614125085502
6495870.83159939,6511758.35873335,6765,339.568810409759,541379.862632395,6501992.06883987,0.9882145757398259,1629.21,56.290548940297256
6495870.83159939,6511758.35873335,7015,351.327838009648,541334.4480597529,6502237.20684273,0.9236954794030935,1626.83,60.09792924885182
6495870.83159939,6511758.35873335,7265,351.327838009582,541296.752927776,6502484.34865834,0.909740169714334,1595.47,49.92283145014915
6495870.83159939,6511758.35873335,7515,3.2334612179766,541293.231264063,6502733.64756748,0.8633244558472262,1575.59,48.51991240717568
6495870.83159939,6511758.35873335,7765,3.23346121744385,541307.332412377,6502983.2495659,0.8264167864851469,1547.2,57.69454046961464
6495870.83159939,6511758.35873335,8015,3.51525802145483,541321.490555408,6503232.84820381,0.7520061614815441,1492.68,59.27611323290352
6495870.83159939,6511758.35873335,8265,5.65585143967888,541342.837564731,6503481.8951265,0.7762268662051014,1446.05,56.15556517389884
6495870.83159939,6511758.35873335,8515,5.65585144024357,541367.475812846,6503730.67807755,0.7957760731475255,1383.97,63.10221153018331
6495870.83159939,6511758.35873335,8765,5.65585143913408,541392.114060962,6503979.46102859,0.8496345239750874,1346.77,59.836753755530566
6495870.83159939,6511758.35873335,9015,16.5070648520535,541453.777493046,6504221.18966553,0.8761631971535558,1315.78,54.69032455562867
6495870.83159939,6511758.35873335,9265,16.5070648522051,541524.810885483,6504460.8858423,0.9144266419120332,1315.35,55.05422327124414
6495870.83159939,6511758.35873335,9515,28.5029266893917,541598.124851179,6504699.63714172,0.9738437768777786,1337.77,57.33233904176594
6495870.83159939,6511758.35873335,9765,35.0169209127849,541733.174038827,6504909.5862253,0.9479685240390499,1367.71,59.40880321972494
6495870.83159939,6511758.35873335,10015,35.0169209165901,541876.628620822,6505114.33187948,0.966886618641363,1415.59,59.50581400165869
6495870.83159939,6511758.35873335,10265,35.0169209161531,542020.083202819,6505319.077533649,0.945021386027615,1482.37,67.9097423055043
6495870.83159939,6511758.35873335,10515,35.0169209161531,542163.537784816,6505523.82318783,0.9695280715006537,1542.28,61.53569370698603
6495870.83159939,6511758.35873335,10765,35.4978665836545,542307.4241944329,6505728.263572849,0.9945469186938439,1604.44,54.1948927483024
6495870.83159939,6511758.35873335,11015,38.901394282636495,542462.670467463,6505924.14825655,0.9853092941984565,1636.86,45.97151726884812
6495870.83159939,6511758.35873335,11265,38.9013942831037,542619.665966427,6506118.705223289,0.9812304309134569,1657.83,49.84155996756121
6495870.83159939,6511758.35873335,11515,38.9013942831037,542776.66146539,6506313.26219002,0.9916123383532497,1672.09,57.16189202606926
6495870.83159939,6511758.35873335,11765,38.9013942831037,542933.656964354,6506507.81915676,1.0,1686.6,42.64903281435583
6495870.83159939,6511758.35873335,12015,38.9013942831037,543090.652463318,6506702.37612349,0.9740542364237609,1688.84,53.6081560958778
6495870.83159939,6511758.35873335,12265,38.9013942826884,543247.647962282,6506896.93309023,0.9981787404503707,1696.56,58.105132303437706
