,sta,Datetime,Lat,Long,x_8N,y_8N,Elev,Elev_std,boug_anom_2700,error,dist,outer_grav,man_2km_g,man_2km_t
0,413,07:07.5,58.68535437,-134.2441434,543820.641,6505263.851,1314.304193,0.024377684,-22.90088192,0.323846809,0,-1.541336278,-21.12902026,630.9164454
1,412,51:05.5,58.68697298,-134.2480231,543593.7013,6505441.54,1312.316193,0.023457866,-31.14804958,0.317484649,288.227355,-1.173476698,-30.78954671,921.6882789
2,411,39:10.5,58.68853312,-134.2524222,543336.7463,6505612.395,1311.791193,0.024377684,-37.3101539,0.321328488,596.8003659,-1.04001518,-37.12590781,1281.660045
3,410,23:47.5,58.69012474,-134.256659,543089.183,6505786.878,1309.396193,0.02542187,-40.97126696,0.31592009,899.6731193,-0.977604327,-40.57835293,1568.649107
4,305,30:15.5,58.69120934,-134.2595447,542920.5808,6505905.788,1305.391312,0.026691597,-41.71864063,0.321988429,1105.989043,-0.949758307,-41.29110709,1607.494231
5,401,56:52.5,58.69321342,-134.2650072,542601.5066,6506125.44,1289.689193,0.023457866,-39.92256225,0.316180316,1493.358893,-0.89749474,-39.7739275,1620.45729
6,402,16:27.5,58.69483656,-134.2692682,542352.5682,6506303.463,1289.335193,0.023457866,-35.95480934,0.338167173,1799.402216,-0.945100714,-36.35026883,1434.030762
7,403,30:07.5,58.69641517,-134.2732559,542119.5455,6506476.716,1290.517193,0.023457866,-30.19665636,0.323555439,2089.774702,-1.020969298,-30.85976641,909.9836075
8,404,46:14.5,58.69805189,-134.2774961,541871.8408,6506656.295,1290.291193,0.023457866,-22.6709771,0.317727257,2395.726063,-1.119524351,-22.96030346,603.8416502
9,405,59:29.5,58.69958968,-134.281748,541623.599,6506824.867,1289.985193,0.023457866,-13.55545029,0.357001099,2695.793573,-1.242911088,-13.44304123,306.8504159
10,406,12:45.5,58.70121459,-134.2858324,541384.9817,6507003.259,1288.771193,0.023901286,-2.398718479,0.362850463,2993.722963,-1.316924831,-3.911779052,262.8365446
11,407,03:04.5,58.70153533,-134.2895099,541171.5025,6507036.706,1323.563193,0.023901286,2.947813994,0.349660885,3209.806444,-2.108217637,3.305645492,45.83495048
