,sta,Datetime,Lat,Long,x_8N,y_8N,Elev,Elev_std,boug_anom_2700,error,dist,outer_grav,man_2km_g,man_2km_t
0,102,42:20.5,58.64704782,-134.2072853,546007.8283,6501023.475,1190.741335,0.035819195,0,0.351337693,0,-7.405579226,0,-3.960056246
1,9,16:19.5,58.64555727,-134.2147605,545575.9372,6500852.416,1115.924471,0.048518326,-15.78909982,0.316677184,464.533272,-2.699616501,-15.86062125,554.0910804
2,1,50:24.5,58.64273011,-134.2200628,545271.8553,6500534.051,1110.957471,0.02071299,-26.25967198,0.314574155,904.7855578,-1.72576568,-26.15459972,668.4758417
3,2,16:41.5,58.64011862,-134.2249349,544992.4185,6500240.011,1110.290471,0.021213862,-33.93448598,0.31367534,1310.426343,-1.443385517,-34.27943296,904.1802448
4,3,37:35.5,58.63683918,-134.2316942,544604.2339,6499870.366,1111.811471,0.021749206,-42.72896308,0.313397634,1846.453124,-1.324329478,-42.86271743,1425.666858
5,4,04:43.5,58.63171758,-134.2428639,543962.2252,6499292.757,1116.719471,0.021213862,-49.15767107,0.315801616,2710.054495,-1.319261512,-48.56422302,1624.35646
6,5,27:55.5,58.62766397,-134.2514437,543469.0969,6498835.84,1127.120471,0.02071299,-45.94267874,0.313739877,3382.325768,-1.415037646,-45.65006781,1616.86718
7,6,54:01.5,58.623664,-134.2605525,542945.0645,6498384.62,1128.846471,0.02071299,-36.33994046,0.313466029,4073.852662,-1.504693263,-36.56650744,991.9884393
8,7,17:35.5,58.61918921,-134.2710014,542343.6484,6497879.758,1131.704471,0.02071299,-20.75086237,0.315992957,4859.083179,-1.903887064,-21.20388189,694.25917
9,8,08:00.5,58.61331078,-134.280696,541787.5691,6497219.178,1160.451471,0.021213862,2.244522947,0.31857501,5722.558786,-9.261128047,1.960594129,-7.905950518
